"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Population ages 65-69, female (% of female population)","SP.POP.6569.FE.5Y","1.25927266148001","1.30256265043183","1.35031402651779","1.40786606247189","1.46775745909528","1.54787124991458","1.60605751926929","1.67426160337553","1.74838081814826","1.83715657508669","1.94818103505401","2.09525689099401","2.24224028199354","2.37655819977335","2.48197270151944","2.56196224476692","2.58750924110443","2.63964632611572","2.71786722018616","2.81960388955738","2.9215087969876","2.90877464244298","2.87394690828167","2.82912463186917","2.7745018931165","2.7180979505913","2.65784876466184","2.60657503008805","2.57877813504823","2.5650125830806","2.56247420061601","2.47140148039396","2.41844280121792","2.41345418805286","2.46210168093225","2.54741082833841","2.60520094562648","2.70555326271381","2.83965236041913","2.9896637446029","3.13490291158893","3.23737279529109","3.33898921342868","3.43154656253698","3.50181761930544","3.54405765051283","3.59391246809717","3.61865651960969","3.64345026266734","3.70349450218406","3.83270676691729","3.95678064491967","4.13446317161747","4.35707678075856","4.5967504778709","4.83358298929524","5.06322214955309","5.29207634470792","5.52318261933024","",
"Afghanistan","AFG","Population ages 65-69, female (% of female population)","SP.POP.6569.FE.5Y","1.30248144060557","1.2928808989817","1.2860189372826","1.28120841125325","1.27741548239628","1.27458156182154","1.26806799499992","1.26223893695753","1.25738908539297","1.25393330553647","1.25217515150741","1.24546655396291","1.23999905359404","1.23600263479816","1.2337213117735","1.2339315230716","1.22602565626285","1.21677221292318","1.20708112014057","1.19857135387183","1.19312258848545","1.18780481662995","1.18043999497221","1.17150222766915","1.16039299382964","1.14542237289643","1.15172147537684","1.15954221858468","1.16451364879246","1.15911386100471","1.13731839476414","1.11576614053015","1.09812140479021","1.0870811548341","1.08616525284924","1.09687561474575","1.08231344636782","1.06879859944772","1.05793710324742","1.0505242196189","1.04642518880973","1.03676739911898","1.03490679706694","1.03832669776493","1.0440055695232","1.05068310753718","1.05176279291339","1.04998855759783","1.05154974350494","1.06480146816588","1.09306440707226","1.12178233647689","1.16452441956387","1.2099535523121","1.24370371835241","1.25967295527701","1.25523710874263","1.23859351265118","1.218991509374","",
"Angola","AGO","Population ages 65-69, female (% of female population)","SP.POP.6569.FE.5Y","1.49991007822451","1.51239185465706","1.51716189692082","1.51917374168701","1.52206819181202","1.5264725913179","1.47628111843815","1.40235451564507","1.30123677515752","1.18641209911734","1.08154834546704","1.11040513663684","1.16334280650802","1.21946628339921","1.25605779483995","1.26594946209657","1.23291796280293","1.1874647046267","1.14614623363808","1.12751186897687","1.13773576973705","1.15845898297636","1.1985943404277","1.24124877624279","1.26716604899119","1.26983735546532","1.23760687625646","1.19122773309911","1.14883418716349","1.13098194253469","1.14479269535787","1.16698259025076","1.20944225617531","1.25863607182716","1.2990959844927","1.32471683261419","1.32371189607584","1.31336483986177","1.30164541313801","1.29719431414728","1.3025489602641","1.29967923424584","1.30512986464173","1.31026004043965","1.30374138722673","1.28139966228765","1.23309609854141","1.17582944587348","1.12070210137234","1.08040904382556","1.05948435542734","1.04299943262347","1.04217829427259","1.04749207058858","1.04731983506","1.03732057932315","1.0114620982652","0.979422530023329","0.951977630481578","",
"Albania","ALB","Population ages 65-69, female (% of female population)","SP.POP.6569.FE.5Y","1.98948217113546","2.01057955660575","2.08827419299457","2.18296914133407","2.24379392171935","2.24784911947312","2.18224743611267","2.07793330321836","1.96809140599751","1.89729158442948","1.88534191364547","1.90527231781055","1.96934986101282","2.05251545201144","2.12267951703118","2.16392353301983","2.1616787329487","2.14346140260283","2.11858179773558","2.09852287640998","2.08930687623572","2.07376956264212","2.0664287044555","2.06631701185877","2.07216416137898","2.08292710584871","2.08457382961286","2.09183364371265","2.10540875243257","2.12757762877095","2.15984028071874","2.20816469890299","2.27218087991099","2.34671876600518","2.42295888939278","2.49522450372511","2.50654733213328","2.5103927649075","2.51518794478981","2.53593641126223","2.57908833309612","2.66520161993051","2.7794643372059","2.90763982850952","3.02681437861755","3.12411431847723","3.23295939119596","3.3302430302629","3.42443652410956","3.52937354397943","3.65286566080709","3.76321402620538","3.87372558824346","3.97940631031124","4.09475555605486","4.23714719802011","4.3555275556739","4.52586313544435","4.73748178503478","",
"Andorra","AND","Population ages 65-69, female (% of female population)","SP.POP.6569.FE.5Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population ages 65-69, female (% of female population)","SP.POP.6569.FE.5Y","1.68365468122657","1.68995342618561","1.70062140889616","1.71330832858853","1.7252018007449","1.73481656900176","1.72359678244265","1.71265106182511","1.70474309622402","1.70272357734235","1.70726946382408","1.69881442793368","1.69758098344983","1.69998040575464","1.70119013690387","1.69867226127356","1.67510620490487","1.6506346202983","1.62845571353174","1.61256817762499","1.60461993759513","1.58817391651566","1.57880871507253","1.57549275943764","1.57736246222689","1.5839730858334","1.58161086290436","1.58645955637113","1.59799254747493","1.61509841366931","1.63118310888176","1.63665329960933","1.65258028408692","1.66319438758497","1.67584570894202","1.68313470345091","1.68625914958224","1.69254227705252","1.70089244674155","1.70939090343104","1.71688836856433","1.70807741177676","1.70160367361832","1.69682450320306","1.69264521180796","1.68851649861499","1.67079723347177","1.65468388351398","1.64326749817668","1.64041521107528","1.6478963688372","1.64933919844451","1.6592086970825","1.67885565917102","1.71113382243927","1.75723280021288","1.80167822510939","1.86175141839285","1.93003108518851","",
"United Arab Emirates","ARE","Population ages 65-69, female (% of female population)","SP.POP.6569.FE.5Y","1.64467269063252","1.58093828378767","1.50765424462657","1.42383566110537","1.32785599836362","1.21112295320221","1.09204608465282","0.960364732700934","0.819421257651642","0.689815232667586","0.582838891673564","0.543545653701484","0.652878642447072","0.875975715524718","1.13275815990187","1.34739378612286","1.28106984955241","1.2280084608321","1.19605644256912","1.16487776860394","1.10868815971294","0.964981224347219","0.820132301613783","0.706045683024565","0.643114946422042","0.625819114447141","0.603764696645534","0.609952858006536","0.63394675832275","0.658645516047592","0.673843111676086","0.64028895091118","0.586350592781443","0.524487386519385","0.472259134281984","0.439428816475007","0.44841147848579","0.4821526918221","0.52470824412288","0.556299736728035","0.568867928239056","0.547659126132654","0.514177822748261","0.475494280607229","0.439943064314346","0.41119492346858","0.374262126843176","0.345024309769693","0.324891136241486","0.318094381535787","0.325946875441033","0.356479245266598","0.398223765516622","0.441575619775766","0.475781502167877","0.497950067869128","0.526470339242709","0.549118795569702","0.571881940304527","",
"Argentina","ARG","Population ages 65-69, female (% of female population)","SP.POP.6569.FE.5Y","2.35965513134333","2.41037196875946","2.47122260867678","2.5395808427729","2.6116594236395","2.68504207111066","2.74149020592058","2.80140968470377","2.86351887797432","2.9257785518153","2.98651576142581","3.02339729725622","3.05896627529712","3.09610460763181","3.13790922124274","3.18469431619784","3.22181456971486","3.26594441456474","3.31240028905062","3.35420414085006","3.38739459140998","3.37865228772461","3.36854033919741","3.36221679991429","3.36615296276983","3.38286656134189","3.3958968280233","3.4157548089289","3.44178567811671","3.47306887463031","3.50724868924802","3.52613729818243","3.55140945022719","3.57562658170934","3.58840206492031","3.58478717931513","3.54974466879681","3.50487738071724","3.45554445101994","3.40997173226231","3.37310605551592","3.33277942860383","3.30001247488713","3.27735776095533","3.26851622798525","3.27535229197643","3.28076300268893","3.30236660697733","3.33787940382365","3.38458180435739","3.44035338381674","3.4900704039776","3.5493456093116","3.61307243625641","3.67488986534337","3.73089321662611","3.7672746903312","3.8007549914195","3.83128481134872","",
"Armenia","ARM","Population ages 65-69, female (% of female population)","SP.POP.6569.FE.5Y","1.70617782802914","1.61541141918463","1.59947053604372","1.64291953473788","1.72888229117636","1.84780267362989","1.98890047287167","2.16565412852292","2.35177512389309","2.51122135413983","2.62361852226259","2.64814380080572","2.63363259134149","2.60690678780454","2.59504004278737","2.60364502036875","2.60072238913568","2.61565792705981","2.62178689041537","2.58008402383956","2.47744335139207","2.32332578958517","2.12002152951174","1.91785017496389","1.78579603932021","1.75922303715451","1.80483634657509","1.92573279885038","2.10960561819998","2.34544416339994","2.6270846221684","2.97024295216926","3.38595035035752","3.81898459778028","4.17441740223616","4.38991693905813","4.37762272044901","4.19582444349137","3.94410778744107","3.78264675397291","3.80627957538542","3.9911212317592","4.38418940006451","4.83765801438719","5.11945843329614","5.09626489180647","4.74024048441252","4.10116713514014","3.3456411637373","2.73518395907348","2.42932063021771","2.36892117625223","2.575369345016","2.94181887678489","3.31841375510439","3.62508434254102","3.88262611622286","4.09432438966364","4.29839662576824","",
"American Samoa","ASM","Population ages 65-69, female (% of female population)","SP.POP.6569.FE.5Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
