"","day_of_infection","latitude","longitude","population_density","median_age","aged_65_older","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","border_closure","wear_protective_gear_in_public_requirement","businesses_and_public_services_closure","curfews","economic_measures","suspension_international_flights","imports_exports_limit","gatherings_limit","partial_lockdown","schools_closure","established_emergency","quarantine_isolation_policies","full_lockdown","mass_testing","checkpoints_within_the_country","military_deployment","Africa","Asia","Europe","North.America","Oceania","South.America","AFRO","AMRO","EMRO","EURO","SEARO","WPRO","airports_per_pop","temperatura","precip","PERC_POBLACION_RURAL","prison_pop","diabetes","expend__health_public","HIV","lit_rate","non_transm_mortality","num_physicians","tuberculosis","log_population","log_gdp_per_capita","log_n_airports","log_turismo","cumulative_cases"
"104",32,41.2044,74.7661,32.333,26.3,4.489,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4.29171984695114,1.09305612341,390.721465526,63.649,181,6.1,2.34767459332943,0.2,99.586,24.9,2.213,116,15.6910276720877,8.12990409426326,3.36729582998647,12.9551298220918,554
"105",38,19.85627,102.495496,29.715,24.4,4.029,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5.63530814689627,23.2174666595,1758.34740397,64.996,69,6.4,0.888554286211729,0.3,84.66104,27,0.3726,162,15.8000309316649,8.76379698651012,3.73766961828337,15.1425858246761,19
"106",38,56.8796,24.6032,31.212,43.9,19.754,0.7,350.06,4.91,25.6,51,91.9071,5.57,75.29,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,22.2669682250363,5.62662572943,638.870309012,31.858,304,5,3.40323522686958,0.4,99.88931,21.9,3.1905,29,14.4500763715901,10.1292215856532,3.76120011569356,14.4812870556026,577
"107",38,33.8547,35.8623,594.561,31.1,8.514,0.34,266.591,12.71,26.9,40.7,82.1089,2.9,78.93,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.17208526568682,15.61349988,721.112487793,11.407,118,11.2,4.09953109920025,0.1,95.06944,17.9,2.1038,11,15.7361678053537,9.5006613344928,2.19722457733622,14.4904942770614,446
"108",48,6.4281,-9.4295,49.127,19.2,3.057,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5.73385765836767,25.2524195026,2460.08025139,48.849,46,2.4,1.40308914706111,1.3,48.30136,17.6,0.0376,308,15.4364180426593,6.62511116136432,3.40119738166216,12.7485771432534,158
"109",36,26.3351,17.228331,3.623,29,4.424,0.85,341.862,10.43,7.51,45.55,81.2133,3.7,72.91,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,21.247839014729,21.8999695205,45.9772740284,19.898,81,10.2,3.82936373353004,0.2,86.32224,20.1,2.0905,40,15.742862128431,9.79157836326775,4.99043258677874,14.6705493879026,61
"110",42,47.14,9.55,237.012,43.7,17.5,0.44,0,7.77,18.59,22.59,92.6224,2.397,82.49,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,218.649088955238,11.746915033811,971.0384013438,85.662,24,9.4,5.19859597086906,0.12,98.138367,11.73,3.32199,4.9,10.5489664393946,10.7687338084374,1.58257306306022,11.3539414567405,81
"111",46,55.1694,23.8813,45.135,43.5,19.002,0.7,342.989,3.67,21.3,38,80.1042,6.56,75.93,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,22.4075971305052,6.24490510462,651.721643692,32.321,329,3.8,4.22698482871056,0.5,99.8156,20.7,6.3528,44,14.8169847305033,10.2930016164698,4.12713438504509,14.8540192765449,1070
"112",40,49.8153,6.1296,231.447,39.7,14.312,0.2,128.275,4.42,20.9,26,92.1946,4.51,82.25,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3.19501067133564,8.88189983,848.8059082,9.01900000000001,122,5,4.65104691684246,0.3,99.466454,10,3.009,8,13.3470689081932,11.4540133790518,1.09861228866811,13.8333514584104,3115
"113",31,-18.7669,46.8691,43.951,19.6,2.929,77.6,405.994,3.94,3.01,32.08,50.54,0.2,67.04,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.9973617077797,22.013568481,1475.67599208,62.809,87,4.5,2.57938224822283,0.3,74.80432,22.9,0.1812,233,17.1366187308717,7.25660770666372,4.43081679884331,12.5810819825738,121
"114",38,-13.254308,34.301525,197.519,18.1,2.979,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.67276922501909,21.9787631789,1112.29100278,83.063,76,4.5,2.95680090785027,9.2,62.14354,16.4,0.0358,181,16.7667660413615,6.99946078794161,3.49650756146648,13.6773984039396,56
"115",39,2.5,112.5,96.254,29.9,6.293,0.1,260.942,16.74,1,42.4,86.1065,1.9,76.16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.5222148873642,25.1388380873,2992.79301293,23.964,132,16.7,1.95242054760456,0.4,94.85441,17.2,1.5358,92,17.2926190161623,10.1964990483492,4.74493212836325,17.0671246301319,36
"116",37,3.2028,73.2207,1454.433,30.6,4.12,1.74,164.905,9.19,2.1,55,95.803,0,78.92,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,16.6499550451214,24.2535574014,2611.003217436,60.192,307,9.2,6.45244047045708,0.42,97.73495,13.4,4.5627,33,13.2003294688637,9.62803808904683,2.30258509299405,14.2102523765637,20
"117",32,17.570692,-3.996166,15.196,16.4,2.519,40.24,268.024,2.42,1.6,23,52.232,0.1,59.31,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.23451705742094,28.2998735354,303.009144715,57.644,36,2.4,1.325374096632,1.4,35.47377,24.6,0.1286,53,16.8237065852346,7.60852632389325,3.25809653802148,9.54688403461792,389
"118",35,35.9375,14.3754,1454.037,42.4,19.426,0.2,168.711,8.83,20.9,30.2,89.3753,4.485,82.53,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2.26480560041129,14.650474179502,849.7178235558,5.38800000000001,145,8.3,5.89119866490364,0.27,94.50319,10.8,2.8598,14,12.9980238951487,10.5054598735564,0.693147180559945,14.7706376983869,350
"119",91,21.0079,10.9408,4.289,20.3,3.138,6,232.347,2.42,3.49,16.44,15.95,0,64.92,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6.45208466855641,27.6928972352,90.0047551118,46.328,45,7.1,1.70846786350012,0.2,53.49759,18.1,0.1865,93,15.3523048716802,8.18830933010924,3.43398720448515,13.0809956102617,1439
"120",31,-20.2,57.5,622.962,37.4,10.945,0.5,224.644,22.02,3.2,40.7,81.0618,3.4,74.99,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.93153777382178,23.12700081,1953.0168457,59.207,202,22,2.45145745575428,1.3,91.32539,22.6,2.5331,13,14.05591861631,9.91806798946985,1.79175946922805,14.1512689684436,324
"121",42,23.6345,-102.5528,66.444,29.3,6.857,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,13.2937516660332,20.5446931517,738.139128273,19.844,210,13.5,2.84170582890511,0.2,95.37991,15.7,2.3827,23,18.674801539587,9.76062527658977,7.44716835960004,17.5366878025828,3181
"122",49,43.7333,7.4167,19347.5,55.4,35.15,1.04,0,5.46,30.28,36.47,89.4029,13.8,86.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,30.2368163716306,10.770142251339,1002.6630848434,0,73,2.9,1.41291478648782,0.47,98.449162,10.76,7.5067,0,10.5775793265609,11.0569008093735,1.27328346085945,12.7570829407692,68
"123",40,46.8625,103.8467,1.98,28.6,4.031,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,13.4216232111112,-0.499043690351,227.231938367,31.555,287,4.7,2.4689519777894,0.1,98.42312,30.2,2.8592,428,15.002833418062,9.37939480844712,3.80666248977032,13.1787456011978,32
"124",31,42.5,19.3,46.28,39.1,14.762,1,387.305,10.08,44,47.9,92.0704,3.861,76.88,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,7.9609974811404,7.90694991667,1227.18247477,33.187,208,9,4.27679140120745,0.1,98.84718,20.6,2.7557,15,13.3503957588901,9.70566373420436,1.79175946922805,14.5464355843218,303
"125",56,16.7425,-62.1874,49.00980392,34.8,6.55,6.19,180.5129,2.242,4.71,23.24,77.685,0.29,74.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,200.0400080016,26.01502620926,1888.506472274,42.1749,487,6.02,3.50477274507284,1.55,95.322899,19.26,2.22591,59.59,8.51719319141624,9.91517133626976,0.693147180559945,12.8103696456449,11
