"","day_of_infection","latitude","longitude","population_density","median_age","aged_65_older","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","border_closure","wear_protective_gear_in_public_requirement","businesses_and_public_services_closure","curfews","economic_measures","suspension_international_flights","imports_exports_limit","gatherings_limit","partial_lockdown","schools_closure","established_emergency","quarantine_isolation_policies","full_lockdown","mass_testing","checkpoints_within_the_country","military_deployment","Africa","Asia","Europe","North.America","Oceania","South.America","AFRO","AMRO","EMRO","EURO","SEARO","WPRO","airports_per_pop","temperatura","precip","PERC_POBLACION_RURAL","prison_pop","diabetes","expend__health_public","HIV","lit_rate","non_transm_mortality","num_physicians","tuberculosis","log_population","log_gdp_per_capita","log_n_airports","log_turismo","cumulative_cases"
"150",35,25.3548,51.1839,227.322,31.9,1.307,0.61,176.69,16.52,0.8,26.9,91.8848,1.2,80.23,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.08256683304062,26.9173336033,65.2212638867,0.864999999999995,60,15.6,2.10516639053822,0.29,93.46397,15.3,2.4852,31,14.8736691870463,11.6693871865678,1.94591014905531,14.4139629193467,1075
"151",41,36,128,527.967,43.4,13.914,0.2,85.998,6.8,6.2,40.9,83.9361,12.27,83.03,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2.1650432775572,10.6598023119,1344.7313494,18.541,99,6.9,4.36290092766285,0.41,96.797222,7.8,2.3608,66,17.752600427893,10.4895887422671,4.71849887129509,16.5464306383165,3150
"152",36,47.4116,28.3699,123.655,37.6,10.864,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.73526628776714,9.66717493563,538.892749786,57.371,188,5.7,3.5497460514307,0.6,99.35989,24.9,3.2066,86,15.2102600733117,8.55467624186161,2.07944154167984,11.9829353441964,1560
"153",40,45.9432,24.9668,85.129,43,17.85,5.7,370.946,9.74,22.9,37.1,83.8239,6.892,76.05,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2.33915915649297,8.81124552491,642.208362579,46.002,155,6.9,4.0533933788538,0.1,98.8445,21.4,2.9807,68,16.7723815697546,10.0568178530872,3.8286413964891,16.2768074274374,3864
"154",70,60,90,8.823,39.6,14.178,0.1,431.297,6.18,23.4,58.3,87.3772,8.05,72.58,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,8.34621240247163,-6.32129447871,434.795213565,25.567,475,6.1,3.05115282535553,0.77,99.73006,25.4,4.0139,54,18.7986681816278,10.1172655435855,7.10578612948127,17.0162631853043,11917
"155",32,-1.9403,29.8739,494.869,20.3,2.974,56,191.375,4.28,4.7,21,4.617,0,69.02,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.54044835131984,19.011899947,1162.80355835,82.789,492,5.1,2.25612297654152,2.5,73.21559,18.2,0.134,59,16.3767769879203,7.52575371520361,2.07944154167984,13.2461744595854,136
"156",41,17.357822,-62.782998,212.865,36.5,10,1.64,0,12.84,4.22,21.98,90.0575,2.3,76.23,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,37.5996390434652,21.347457128987,1712.3975207203,69.224,714,13.3,2.34724264591932,1.73,96.874281,18.28,2.6758,0,10.8816820877251,10.1127506140301,1.09861228866811,11.7360770162524,15
"157",47,13.9094,-60.9789,293.187,34.9,9.721,3.21,204.62,11.62,4.29,20.06,87.202,1.3,76.2,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10.8915258483137,25.63039173071,2026.003385905,81.322,317,11.6,2.22526714205742,1.56,89.860528,18.8,0.6409,3.2,12.1206781425132,9.46907027090001,1.09861228866811,12.8866435755256,17
"158",58,12.9843,-61.2872,281.787,31.8,7.724,4.27,252.675,11.62,3.9,22.46,78.603,2.6,72.53,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,54.0798759768178,26.81999969,1585.97009277,47.802,376,11.6,2.88701932877302,1.67,91.959748,23.2,0.6648,6.3,11.6168169020604,9.28062603411574,1.94591014905531,11.2897944135779,17
"159",34,43.9424,12.4578,556.667,45.2,18,0.79,0,5.64,20.34,27.35,91.2319,3.8,84.97,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,220.955974394142,8.831068564896,1019.5724720412,2.774,6,5.9,6.01250529289246,0.24,99.91643,11.24,6.1094,0,10.4323200745946,10.9483908242896,1.75720277257535,11.3385839825165,236
"160",52,0.18636,6.613081,212.841,18.7,2.886,32.3,270.113,2.42,2.54,24.61,41.34,2.9,70.39,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9.12571123511939,24.3894773085,1553.6792413672,27.197,128,2.4,2.84106228500605,2.91,92.81664,18.5,0.0531,124,12.2975664613636,8.02411383371818,1.09861228866811,10.4163411186364,295
"161",35,24,45,15.322,31.9,3.295,1.48,259.538,17.72,1.8,25.4,94.2096,2.7,75.13,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6.14697585878639,24.6510073372,73.4034506019,16.156,162,15.8,3.35191413760185,0.25,95.32863,16.4,2.6117,10,17.3655263711095,10.800522292082,5.37063802812766,16.5455832083155,2523
"162",39,14.4974,-14.4524,82.328,18.7,3.008,38,241.219,2.42,0.4,16.6,20.859,0,67.94,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1.19446270977005,27.8732058303,701.100816165,52.808,64,2.4,0.867270026355982,0.4,51.90042,18.1,0.0691,118,16.6335464222204,7.81261290122982,3.04452243772342,14.1266657192017,250
"163",34,44.0165,21.0059,80.291,41.2,17.366,4.1,439.415,10.08,37.7,40.2,97.719,5.609,76,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3.82094690118267,10.1789935639,726.463658487,43.908,142,9,4.78330999612808,0.1,98.84151,19.1,3.1131,17,15.7331089711532,9.55036920497513,3.29583686600433,14.3525891373277,2666
"164",47,-4.6796,55.492,208.354,36.2,8.606,1.1,242.648,10.55,7.1,35.7,78.6803,3.6,73.4,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,142.363229611552,22.24739546956,936.46049980994,43.309,709,12.3,3.657141700387,6.8,95.86771,21.2,2.1212,18,11.4961963097163,10.1804860204803,2.70805020110221,12.799402253235,11
"165",41,8.460555,-11.779889,104.7,19.1,2.538,52.2,325.721,2.42,8.8,41.3,19.275,0,54.7,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1.00288517528866,26.043799896,2471.72089355,57.945,52,2.4,1.84365287423134,1.5,43.20633,30.5,0.0251,298,15.892071203846,7.23799384084783,2.19722457733622,10.9508240905224,338
"166",35,1.2833,103.8333,7915.731,42.4,12.922,0.93,92.243,10.99,5.2,28.3,74.1305,2.4,83.62,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.53837133993682,16.022502830973,2034.766364442,0,230,5.5,2.14045811444521,0.2,97.34486,9.3,2.2936,47,15.582011020898,11.3566970965755,2.30258509299405,16.501519696342,96
"167",45,18.0425,-63.0548,1209.088,33.3,9.17,1.5,0,0,6.35,18.24,82.1472,0,78.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,23.3198078447834,22.338474054299,1824.2706012839,0,616.9,6.8,3.71440188959241,1.55,95.338695,15.3,2.67042,19,10.666230755984,10.5003504590159,0.693147180559945,12.089544447236,76
"168",34,48.669,19.699,113.128,41.2,15.07,0.7,287.959,7.29,23.1,37.7,85.9938,5.82,77.54,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,6.4106755698129,7.26939613115,767.516310472,46.274,187,6.5,5.3335927426815,0.1,99.456058,17.2,3.4156,5.8,15.5128941441302,10.3141442277752,3.58351893845611,14.6291043348624,682
"169",32,46.1512,14.9955,102.619,44.5,19.062,0.39,153.493,7.25,20.1,25,96.1288,4.5,81.32,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7.69625942551272,8.04021112,1361.8067627,45.459,66,5.9,5.87911084294319,0.1,99.7,12.7,3.0861,5.3,14.5473653392886,10.3546217689056,2.83321334405622,15.3027810624128,977
"170",53,5.1521,46.1996,23.5,16.8,2.731,31.35,365.769,6.05,1.32,35.27,9.831,0.9,57.4,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.83811485892191,26.7668442457,265.352539755,55.029,55.9,5.1,0.991924051195383,0.1,45.86297,21.8,0.023,262,16.5814031611554,7.31456250282167,4.12713438504509,13.4088108637837,928
"171",36,-30.5595,22.9375,46.754,27.3,5.344,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,9.54328952468854,17.5968733425,474.776152751,33.645,294,12.7,4.35276962816715,20.4,87.04667,26.2,0.9054,520,17.8982664130942,9.41701920058723,6.34035930372775,16.1642156820646,1934
"172",52,6.877,31.307,18.06183027,19.2,3.441,62.68,280.775,10.43,1.68,19.49,7.7838,0,57.85,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7.59353741724496,26.927926447,956.581482682,80.385,65,10.2,0.82402266561985,2.5,34.52276,19.8,0.115325,146,16.2308643580782,7.35939634354362,4.45434729625351,12.5713020447881,806
"173",55,40,-4,93.105,45.5,19.436,1,99.403,7.17,27.4,31.4,92.1796,2.97,83.56,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3.2082279154199,13.0254760682,622.987063842,19.679,147,6.9,6.26586750149727,0.3,98.4365,9.9,3.8723,9.4,17.6604271400143,10.4421236549998,5.01727983681492,18.2316124913023,47610
"174",77,7,81,341.955,34.1,10.069,0.7,197.093,10.68,0.3,27,82.2582,3.6,76.98,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.887301086943831,26.7552273486,1699.40728205,81.524,132,10.7,1.63696836680174,0.1,91.70982,17.4,1.0041,64,16.8795204939709,9.36478332337366,2.99573227355399,14.6630945202776,210
"175",49,12.8628,30.2176,23.258,19.7,3.548,22.05,431.388,15.67,1.05,30.94,23.437,0.8,65.31,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1.68759939874938,26.824333834,234.036378989,65.358,56,22.1,1.14202881231904,0.2,60.69718,26,0.2618,71,17.5962686289814,8.40458581390421,4.31748811353631,13.6363850882384,533
"176",49,3.9193,-56.0278,3.612,29.6,6.933,5.09,258.314,12.54,7.4,42.9,67.779,3.1,71.68,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,93.7552204611393,25.7660816355,2316.81026537,33.94,186,12.5,3.64815592765808,1.4,94.38327,21.7,1.2101,38,13.2821580996167,9.5301109810847,4.02535169073515,12.5353799897886,10
"177",57,63,16,24.718,41,19.985,0.5,133.982,4.79,18.8,18.9,92.6953,2.22,82.8,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,22.8729403214292,1.54635056165,621.150333343,12.569,67,4.8,9.2221312224865,0.26,99.748811,9.1,3.984,5.5,16.1279738009887,10.7568445123073,5.44673737166631,15.8223815412179,3046
"178",32,46.8182,8.2275,214.243,43.1,18.436,1.04,99.739,5.59,22.6,28.9,84.5454,4.53,83.78,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,7.27935074661874,4.74905739722,1646.41245524,26.203,82,5.7,3.76474261283875,0.17,99.622596,8.6,4.2957,6.4,15.9736037248263,10.957994093006,4.15888308335967,16.1536559228633,12104
"179",37,34.8021,38.9968,94.50619397,21.7,4.46,3.29,376.264,0,7.4,33.23,70.598,1.5,72.7,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5.14266407255453,17.6457807466,296.371756984,45.838,58,13.5,1.61476172506809,0.1,90.144071,21.8,1.2874,19,16.6777490381869,9.11199667920203,4.51085950651685,15.7567707021193,43
"180",30,38.861034,71.276093,64.281,23.3,3.466,4.8,427.698,7.11,2.48,48.95,72.704,4.8,71.1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2.51634523501721,3.02524846475,492.022649732,72.866,130,6.1,2.09663957357407,0.2,99.8,25.3,2.1026,84,16.0707569479094,7.97174610172606,3.2188758248682,13.8499129508647,3807
"181",44,15,101,135.132,40.1,11.373,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1.44699186008339,26.2498882068,1532.47654527,50.051,398,7,2.85175293684006,1.1,93.76776,14.5,0.805,153,18.061144266873,9.69761100231767,4.62497281328427,17.4577700176361,40
"182",52,55.3781,-3.436,272.898,40.8,18.517,0.2,122.137,4.28,20,24.7,93.1654,2.54,81.32,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6.77606535803757,8.3102391391,1154.29974182,16.602,148,3.9,7.64871090650558,0.2,99.520081,10.9,2.8117,8,18.0333404593556,10.5904718816789,6.13339804299665,17.4077690010099,5687
"183",56,-8.8742,125.7275,87.176,18,3.556,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.55082589905358,24.96599992,1239.77376302,69.422,25,6.7,2.5619076564908,0.69,68.06683,19.9,0.7224,498,14.0919620528967,8.79043682952888,1.94591014905531,11.2252567257629,24
"184",43,8.6195,0.8248,143.366,19.4,2.839,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.966330975364962,26.7991113672,1189.11415609,58.298,64,2.4,1.09466044232249,2.3,63.74562,23.6,0.0774,36,15.9292010992861,7.2659980931697,2.19722457733622,13.2586427408961,83
"185",39,10.6918,-61.2225,266.886,36.2,10.014,1.52,228.467,10.97,4.98,24.53,89.443,3,73.51,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2.85818201045952,25.862500195,1831.40698243,46.816,281,11,3.71267274022102,1.45,98.7,21.3,4.1675,21,14.151619871594,10.2668823525826,1.6094379124341,12.8346839716157,114
"186",41,34,9,74.228,32.7,8.001,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2.45375559138979,19.363456174,267.087509825,31.055,199,8.5,4.13129851222038,0.1,79.03643,16.1,1.3025,35,16.285186727245,9.29194773186585,3.40119738166216,15.931645704077,685
"187",34,38.9637,35.2433,104.914,31.6,8.153,0.2,171.285,12.13,14.1,41.1,89.8395,2.81,77.69,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.16197633535595,10.9336064842,573.283130847,24.857,179,11.1,3.27651053667068,0.15,96.15053,16.1,1.8492,16,18.2503557557118,10.1318311998845,4.59511985013459,17.6390957367798,61049
"188",51,21.694,-71.7979,37.312,34.6,5.17,1.5,0,0,4.25,20.36,87.4508,0,80.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,206.622242884447,26.48697722611,1989.268792337,6.902,617.1,6.31,4.12631265819073,1.55,94.950024,14.81,2.39931,6.1,10.5640857146107,10.2064151934697,2.19722457733622,12.9968024220001,12
"189",34,1,32,213.759,16.4,2.168,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.02752454034673,22.5958415474,1207.89543412,76.226,97,2.5,0.971404835581779,5.7,76.5275,21.9,0.168,200,17.6385056308844,7.43762265241503,3.87120101090789,14.1534110598432,63
"190",43,48.3794,31.1656,77.39,41.4,16.462,0.1,539.849,7.11,13.5,47.4,81.2477,8.8,72.06,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4.27587301608352,8.20556556473,561.788800317,30.648,305,6.1,3.07959318161011,1,99.97435,24.7,2.9923,80,17.5936309018561,8.97403470379156,5.23644196282995,16.4619690739617,3764
"191",52,24,54,112.442,34,1.144,1.23,317.84,17.26,1.2,37.4,92.5005,1.2,77.97,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4.34765024670387,26.8256088765,67.8120254848,13.478,238,16.3,2.39981282502413,0.32,93.22714,16.8,2.5278,1,16.107075248783,11.1168335360467,3.78418963391826,16.8735601845624,153
"192",35,-6.369,34.8888,64.699,17.7,3.108,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.77897693236538,22.3058098214,1052.38357354,66.224,78,5.7,1.5766391530633,4.6,77.88723,17.9,0.014,253,17.9054155130319,7.89517675546311,5.11799381241676,14.1361444562449,255
"193",43,37.0902,-95.7129,35.608,38.3,15.413,1.2,151.089,10.79,19.1,24.6,87.9495,2.77,78.86,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,40.8244469416584,6.75462706769,654.536672556,17.744,716,10.8,8.55761468410492,0.4,97.044343,14.6,2.612,3,19.6176369333093,10.9009240020062,9.51148146411212,18.1943561509857,108
"194",40,17.739273,-64.763578,306.48,42.2,18.601,2.05,273.67,12.26,12.07,25.28,85.0648,0,80.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,19.1528686208977,25.74300003,2131.47290039,4.279,575.6,12.3,6.06860162690282,1.39,95.509778,13.99,4.03082,5.475,11.5562148130686,10.8571751684966,1.09861228866811,12.8505572787773,54
"195",32,-32.5228,-55.7658,19.751,35.6,14.655,0.1,160.708,6.93,14,19.9,81.5206,2.8,77.91,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,38.2874071566361,17.5674857003,1250.47726702,4.666,281,7.3,6.58495426177979,0.6,98.70386,16.7,5.0794,33,15.0607389268054,9.93073343933129,4.89783979995091,15.0593772142194,492
"196",30,41.3775,64.5853,76.134,28.2,4.469,2.57,724.417,7.57,1.3,24.7,88.4826,4,71.72,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.58354551598322,12.5193833147,191.821623206,49.522,152,6.5,2.77740005403757,0.2,99.99289,24.5,2.3742,70,17.3261361709001,8.74099316723673,3.98898404656427,15.4918593627367,1214
"197",30,6.4238,-66.5897,36.253,29,6.614,10.74,204.85,6.47,6.49,16.33,57.1401,0.8,72.06,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,15.6140417077077,25.318454248,1957.65398653,11.792,161,7,0.188269501086324,0.44,97.12709,18.1,0.69664,48,17.1631645366949,9.72591601651008,6.09807428216624,12.9645416341284,171
"198",40,16,108,308.127,32.6,7.15,2,245.465,6,1,45.9,85.847,2.6,75.4,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.46230383279773,24.0696491274,1835.16079337,64.081,145,6,2.68987957388163,0.3,95.00038,17.1,0.8281,182,18.3937060153149,8.72792143070591,3.8286413964891,16.5562216058305,16
"199",52,15.552727,48.516388,53.508,20.3,2.922,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.9110863392598,23.1571687414,166.538899657,63.358,55,5.4,0.431183259934187,0.1,63.971339,30.6,0.5251,48,17.2108900149427,7.29989668615015,4.06044301054642,14.4886603640044,327
"200",38,-15.4167,28.2833,22.995,17.7,2.48,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.78678256192519,21.5841319655,1004.7531958,56.479,119,4.5,1.72702744603157,11.3,86.74796,17.9,1.1867,346,16.7269889400775,8.21344975640142,4.48863636973214,13.8850375534483,84
"201",48,-20,30,42.729,19.6,2.822,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,13.1871736973478,21.0313897136,668.974772958,67.791,129,1.8,3.42518053948879,12.7,88.69342,19.3,0.2096,210,16.5143806168752,7.55001697672493,5.28320372873799,14.7633003444946,34
