,day_of_infection,latitude,longitude,population_density,median_age,aged_65_older,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,border_closure,wear_protective_gear_in_public_requirement,businesses_and_public_services_closure,curfews,economic_measures,suspension_international_flights,imports_exports_limit,gatherings_limit,partial_lockdown,schools_closure,established_emergency,quarantine_isolation_policies,full_lockdown,mass_testing,checkpoints_within_the_country,military_deployment,Africa,Asia,Europe,North America,Oceania,South America,AFRO,AMRO,EMRO,EURO,SEARO,WPRO,airports_per_pop,temperatura,precip,PERC_POBLACION_RURAL,prison_pop,diabetes,expend__health_public,HIV,lit_rate,non_transm_mortality,num_physicians,tuberculosis,log_population,log_gdp_per_capita,log_n_airports,log_turismo
131,35.0,-20.9043,165.618,15.342,33.4,9.954,1.6699999999999995,0.0,23.36,6.15,23.3,78.374,0.0,77.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,87.5684347317429,21.9649998333,1456.20668538,29.316999999999997,246.9,21.8,3.521819319576026,0.51,97.8,16.39,2.5151899999999996,15.0,12.561969286669845,10.979097610584144,3.258096538021482,11.695255355062795
132,47.0,-40.9006,174.886,18.206,37.9,15.322000000000001,0.63,128.797,8.08,14.8,17.2,82.61260000000001,2.61,82.29,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.506855433986697,9.975832156000001,1790.94567393,13.462,192.0,6.2,6.91932514309883,0.1,97.94423900000001,10.1,3.5898,7.3,15.388747864127744,10.49368361805555,4.820281565605037,15.120052688508668
133,63.0,12.8654,-85.2072,51.667,27.3,5.445,3.2,137.016,11.47,3.41,24.259999999999998,79.42580000000001,0.9,74.48,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.1901731044837,24.5887827261,2406.96939485,41.478,153.0,11.4,5.02174384891987,0.2,82.61454999999998,14.2,0.9775,41.0,15.706293757769247,8.579687875340749,4.997212273764115,14.043443422188307
134,37.0,17.6078,8.0817,16.955,15.1,2.553,44.5,238.33900000000003,2.42,0.1,15.4,8.978,0.3,62.42,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.23932957888077,27.2387295245,160.803172125,83.575,42.0,2.4,2.5871697813272494,0.3,30.56039,20.0,0.0433,87.0,17.002137409723904,6.831953565565855,3.4339872044851463,11.964007453736912
135,49.0,9.082,8.6753,209.588,18.1,2.7510000000000003,33.88,181.013,2.42,0.6,10.8,41.949,0.0,54.69,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.261958417526082,26.7822145517,1138.53188956,49.656000000000006,32.0,3.1,0.532657699659467,1.5,62.01601,22.5,0.3806,219.0,19.144064108929225,8.582878679535629,4.007333185232471,12.608307558538373
136,46.0,41.6086,21.7453,82.6,39.1,13.26,5.0,322.688,10.08,19.27,37.059999999999995,86.4812,4.28,75.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.7998924824083895,9.853518181819998,632.503834118,42.037,134.5,9.3,4.083035886287689,0.1,97.8,20.3,2.8736,13.0,14.549502612782732,9.481299441217875,2.3978952727983707,13.468787359304866
137,39.0,15.135168,145.699249,119.87799999999999,32.8,7.23,2.3199999999999994,194.99400000000003,0.0,5.07,25.889999999999993,82.3846,0.0,76.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.49109950829245,26.209815280099996,2396.0280300869995,8.38200000000001,196.2,5.2700000000000005,3.5189295001328,0.41,95.91102599999999,18.85,2.2707100000000002,95.0,10.960548414046002,10.310243656363536,2.0187885191124035,13.155800087724673
138,33.0,60.472,8.4689,14.462,39.7,16.820999999999998,0.2,114.316,5.31,19.6,20.7,85.39370000000001,3.6,82.4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.5236597074988,0.753892465738,1051.84074138,17.752,72.0,5.3,8.92880782485008,0.1,99.56381099999999,9.2,2.9164,4.1,15.505835682915754,11.079077193935726,4.564348191467836,15.553869426273918
139,30.0,31.9522,35.2332,778.202,20.4,3.043,1.0,265.91,10.59,5.65,31.610000000000003,76.85410000000002,0.0,74.05,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.2363131448771334,18.470823633170003,116.77963333838,23.836,255.6,9.5,2.627361230552197,0.33,97.21861,18.619999999999997,1.9697,0.77,15.445028902240553,8.400861152554667,2.2762577144784393,13.314636915215106
140,37.0,21.0,57.0,14.98,30.7,2.355,0.1,266.342,12.61,0.5,15.6,97.4,1.6,77.86,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.8487900612186,25.454102756999998,88.2071067955,15.460999999999999,61.0,10.1,3.3772822469472894,0.2,95.65153,17.8,2.0031,5.9,15.446048882658213,10.544333272785261,4.890349128221754,14.648854803611064
